id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,broad_sector,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,sales,net_profit,dividend_payout,peer_group_name,is_benchmark,return_on_equity_pct_percentile,net_profit_margin_pct_percentile,asset_turnover_percentile,free_cash_flow_cr_percentile,revenue_cagr_5yr_percentile,pat_cagr_5yr_percentile,debt_to_equity_percentile,interest_coverage_percentile,benchmark_score,score_difference
80,ADANIPOWER,Mar 2014,-1.9,30.0,-4.45,6.7477,1.1365,0.261,-1462.0,4700.0,-1.0,0.2278,0.0,44150.0,3238.0,,,,,Energy,,,,,15328.0,-291.0,0.0,Power & Utilities,0,90.0,87.5,56.25,78.75,,,87.5,96.25,,
81,ADANIPOWER,Mar 2015,-4.37,25.0,-14.25,7.8152,1.206,0.3195,1087.0,4737.0,-3.0,0.1993,0.0,44742.0,5824.0,,,,,Energy,,,,,18683.0,-816.0,0.0,Power & Utilities,0,93.75,91.25,41.25,58.75,,,92.5,93.75,,
82,ADANIPOWER,Mar 2016,2.17,35.0,7.380000000000001,7.0607,1.5469,0.3348,2565.0,2692.0,2.0,0.224,0.0,52729.0,5257.0,,,,,Energy,,,,,25377.0,551.0,0.0,Power & Utilities,0,72.5,81.25,30.0,48.75,,,88.75,85.0,,
83,ADANIPOWER,Mar 2017,-27.3,26.0,-205.8,17.4947,0.3921,0.3163,3513.0,1212.0,-16.0,0.0778,0.0,52484.0,4725.0,,,,,Energy,,,,,22616.0,-6174.0,0.0,Power & Utilities,0,98.75,98.75,43.75,35.0,,,97.5,100.0,,
84,ADANIPOWER,Mar 2018,-10.36,27.0,-236.56,59.4319,1.1113,0.292,4581.0,520.0,-5.0,0.023,0.0,52835.0,5101.0,24.85,,,8.28,Energy,,,,,20304.0,-2103.0,0.0,Power & Utilities,0,100.0,96.25,47.5,27.500000000000004,8.88888888888889,,100.0,97.5,-0.87,9.149999999999999
85,ADANIPOWER,Mar 2019,-4.12,21.0,-12.76,6.0918,1.3136,0.3513,4626.0,984.0,-3.0,0.1999,0.0,46980.0,5610.0,9.28,,,3.09,Energy,1188256.85,27.22,4.37,0.06,23884.0,-984.0,0.0,Power & Utilities,0,92.5,90.0,26.25,26.25,37.77777777777778,,83.75,92.5,4.15,-1.0600000000000005
86,ADANIPOWER,Mar 2020,-8.6,22.0,-35.09999999999999,8.517,1.1396,0.3528,3294.0,2304.0,-6.0,0.168,0.0,55199.0,5598.0,7.21,,,2.4,Energy,1117866.08,66.83,5.7,2.51,26468.0,-2275.0,0.0,Power & Utilities,0,96.25,92.5,23.75,38.75,46.666666666666664,,93.75,95.0,4.58,-2.18
87,ADANIPOWER,Mar 2021,4.84,33.0,9.69,4.0051,2.0754,0.3327,4826.0,2188.0,3.0,0.34,0.0,52519.0,7014.0,0.66,18.18,8.45,9.1,Energy,986259.76,66.6,14.89,2.97,26221.0,1270.0,0.0,Power & Utilities,0,57.49999999999999,75.0,32.5,25.0,84.44444444444444,19.444444444444446,81.25,73.75,7.3,1.7999999999999998
88,ADANIPOWER,Mar 2022,17.73,36.0,26.61,2.6627,3.3673,0.338,11007.0,774.0,13.0,0.4785,0.0,49145.0,10233.0,4.15,,,1.38,Energy,1042747.57,52.23,2.28,1.18,27711.0,4912.0,0.0,Power & Utilities,0,3.75,35.0,28.749999999999996,12.5,64.44444444444444,,71.25,51.24999999999999,9.6,-8.219999999999999
89,ADANIPOWER,Mar 2023,27.67,26.0,35.91,1.4175,4.2927,0.4518,9976.0,1545.0,28.0,0.7746,0.0,42350.0,8431.0,13.81,,,4.6,Energy,1074636.56,33.86,8.51,2.86,38773.0,10727.0,0.0,Power & Utilities,0,2.5,30.0,6.25,13.750000000000002,28.888888888888886,,36.25,38.75,11.42,-6.82
90,ADANIPOWER,Mar 2024,41.37,36.0,48.28,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616.0,14170.0,16.09,,,5.36,Energy,1372183.55,44.57,9.91,1.65,50351.0,20829.0,0.0,Power & Utilities,0,1.25,3.75,1.25,10.0,17.77777777777778,,17.5,8.75,9.8,-4.44
91,AMBUJACEM,Dec 2012,13.25,25.0,14.69,0.0068,32.5897,0.7897,1472.0,388.0,8.0,2.8562,43.0,60.0,1860.0,,,,,Materials,,,,,9749.0,1292.0,43.0,Cement,0,26.47058823529412,35.294117647058826,8.823529411764707,50.0,,,23.52941176470588,11.76470588235294,,
92,AMBUJACEM,Dec 2013,13.95,18.0,13.51,0.0051,30.7313,0.7071,771.0,496.0,8.0,3.0621,44.0,48.0,1267.0,,,,,Materials,,,,,9161.0,1278.0,44.0,Cement,0,38.23529411764706,20.588235294117645,26.47058823529412,70.58823529411765,,,20.588235294117645,14.705882352941178,,
93,AMBUJACEM,Dec 2014,14.94,19.0,14.77,0.0034,35.6515,0.7173,1219.0,456.0,10.0,3.2484,46.0,34.0,1675.0,,,,,Materials,,,,,9955.0,1487.0,46.0,Cement,0,20.588235294117645,11.76470588235294,23.52941176470588,55.88235294117647,,,16.176470588235293,8.823529411764707,,
94,AMBUJACEM,Dec 2015,8.559999999999999,16.0,7.870000000000001,0.0034,20.5978,0.6677,1474.0,83.0,5.0,3.3132,54.0,35.0,1557.0,,,,,Materials,,,,,9437.0,808.0,54.0,Cement,0,91.17647058823529,73.52941176470588,47.05882352941176,47.05882352941176,,,16.176470588235293,35.294117647058826,,
95,AMBUJACEM,Dec 2016,7.140000000000001,16.0,7.23,0.0015,23.6732,0.6122,-1355.0,4165.0,6.0,4.9927,50.0,29.0,2810.0,,,,,Materials,,,,,20094.0,1434.0,50.0,Cement,0,97.05882352941177,94.11764705882352,79.41176470588235,91.17647058823529,,,5.88235294117647,26.47058823529412,,
96,AMBUJACEM,Dec 2017,8.24,16.0,9.41,0.0012,20.3544,0.6649,2678.0,738.0,8.0,5.2071,47.0,24.0,3416.0,19.35,8.53,0.0,9.29,Materials,,,,,23609.0,1945.0,47.0,Cement,0,76.47058823529412,82.35294117647058,50.0,26.47058823529412,25.0,75.0,2.941176470588235,41.17647058823529,,
